GSA Limited Capability mode

Steel Design
Vieerendeel Roof
Example

File Steel_Design_Complex.gwb
Exported 30/11/2014 15:09:43

GSA 8.7.0.21 64-bit Copyright © Oasys 1985-2014

Elements
Releases are in local axes.
Members and directions not listed assume the default condition for the element type.

START_TABLE Elements
Elem	Name	Type	Property	Group	Orient. Node	Orient. Angle	Vert- ical	Length /Area	Topology	
						[°]		[m]		
2		Beam	Beam - y	3	0	0.0		2.000	442	463
3		Beam	Beam - x	2	0	0.0		2.000	442	443
5		Beam	Beam - y	3	0	0.0		2.000	443	464
6		Beam	Beam - x	2	0	0.0		2.000	443	444
8		Beam	Beam - y	3	0	0.0		2.000	444	465
9		Beam	Beam - x	2	0	0.0		2.000	444	445
11		Beam	Beam - y	3	0	0.0		2.000	445	466
12		Beam	Beam - x	2	0	0.0		2.000	445	446
14		Beam	Beam - y	3	0	0.0		2.000	446	467
15		Beam	Beam - x	2	0	0.0		2.000	446	447
17		Beam	Beam - y	3	0	0.0		2.000	447	468
18		Beam	Beam - x	2	0	0.0		2.000	447	448
20		Beam	Beam - y	3	0	0.0		2.000	448	469
21		Beam	Beam - x	2	0	0.0		2.000	448	449
23		Beam	Beam - y	3	0	0.0		2.000	449	470
24		Beam	Beam - x	2	0	0.0		2.000	449	450
26		Beam	Beam - y	3	0	0.0		2.000	450	471
27		Beam	Beam - x	2	0	0.0		2.000	450	451
29		Beam	Beam - y	3	0	0.0		2.000	451	472
30		Beam	Beam - x	2	0	0.0		2.000	451	452
32		Beam	Beam - y	3	0	0.0		2.000	452	473
33		Beam	Beam - x	2	0	0.0		2.000	452	453
35		Beam	Beam - y	3	0	0.0		2.000	453	474
36		Beam	Beam - x	2	0	0.0		2.000	453	454
38		Beam	Beam - y	3	0	0.0		2.000	454	475
39		Beam	Beam - x	2	0	0.0		2.000	454	455
41		Beam	Beam - y	3	0	0.0		2.000	455	476
42		Beam	Beam - x	2	0	0.0		2.000	455	456
44		Beam	Beam - y	3	0	0.0		2.000	456	477
45		Beam	Beam - x	2	0	0.0		2.000	456	457
47		Beam	Beam - y	3	0	0.0		2.000	457	478
48		Beam	Beam - x	2	0	0.0		2.000	457	458
50		Beam	Beam - y	3	0	0.0		2.000	458	479
51		Beam	Beam - x	2	0	0.0		2.000	458	459
53		Beam	Beam - y	3	0	0.0		2.000	459	480
54		Beam	Beam - x	2	0	0.0		2.000	459	460
56		Beam	Beam - y	3	0	0.0		2.000	460	481
57		Beam	Beam - x	2	0	0.0		2.000	460	461
59		Beam	Beam - y	3	0	0.0		2.000	461	482
60		Beam	Beam - x	2	0	0.0		2.000	461	462
62		Beam	Beam - y	3	0	0.0		2.000	462	483
64		Beam	Beam - y	3	0	0.0		2.000	463	484
65		Beam	Beam - x	2	0	0.0		2.000	463	464
67		Beam	Beam - y	3	0	0.0		2.000	464	485
68		Beam	Beam - x	2	0	0.0		2.000	464	465
70		Beam	Beam - y	3	0	0.0		2.000	465	486
71		Beam	Beam - x	2	0	0.0		2.000	465	466
73		Beam	Beam - y	3	0	0.0		2.000	466	487
74		Beam	Beam - x	2	0	0.0		2.000	466	467
76		Beam	Beam - y	3	0	0.0		2.000	467	488
77		Beam	Beam - x	2	0	0.0		2.000	467	468
79		Beam	Beam - y	3	0	0.0		2.000	468	489
80		Beam	Beam - x	2	0	0.0		2.000	468	469
82		Beam	Beam - y	3	0	0.0		2.000	469	490
83		Beam	Beam - x	2	0	0.0		2.000	469	470
85		Beam	Beam - y	3	0	0.0		2.000	470	491
86		Beam	Beam - x	2	0	0.0		2.000	470	471
88		Beam	Beam - y	3	0	0.0		2.000	471	492
89		Beam	Beam - x	2	0	0.0		2.000	471	472
91		Beam	Beam - y	3	0	0.0		2.000	472	493
92		Beam	Beam - x	2	0	0.0		2.000	472	473
94		Beam	Beam - y	3	0	0.0		2.000	473	494
95		Beam	Beam - x	2	0	0.0		2.000	473	474
97		Beam	Beam - y	3	0	0.0		2.000	474	495
98		Beam	Beam - x	2	0	0.0		2.000	474	475
100		Beam	Beam - y	3	0	0.0		2.000	475	496
101		Beam	Beam - x	2	0	0.0		2.000	475	476
103		Beam	Beam - y	3	0	0.0		2.000	476	497
104		Beam	Beam - x	2	0	0.0		2.000	476	477
106		Beam	Beam - y	3	0	0.0		2.000	477	498
107		Beam	Beam - x	2	0	0.0		2.000	477	478
109		Beam	Beam - y	3	0	0.0		2.000	478	499
110		Beam	Beam - x	2	0	0.0		2.000	478	479
112		Beam	Beam - y	3	0	0.0		2.000	479	500
113		Beam	Beam - x	2	0	0.0		2.000	479	480
115		Beam	Beam - y	3	0	0.0		2.000	480	501
116		Beam	Beam - x	2	0	0.0		2.000	480	481
118		Beam	Beam - y	3	0	0.0		2.000	481	502
119		Beam	Beam - x	2	0	0.0		2.000	481	482
121		Beam	Beam - y	3	0	0.0		2.000	482	503
122		Beam	Beam - x	2	0	0.0		2.000	482	483
124		Beam	Beam - y	3	0	0.0		2.000	483	504
126		Beam	Beam - y	3	0	0.0		2.000	484	505
127		Beam	Beam - x	2	0	0.0		2.000	484	485
129		Beam	Beam - y	3	0	0.0		2.000	485	506
130		Beam	Beam - x	2	0	0.0		2.000	485	486
132		Beam	Beam - y	3	0	0.0		2.000	486	507
133		Beam	Beam - x	2	0	0.0		2.000	486	487
135		Beam	Beam - y	3	0	0.0		2.000	487	508
136		Beam	Beam - x	2	0	0.0		2.000	487	488
138		Beam	Beam - y	3	0	0.0		2.000	488	509
139		Beam	Beam - x	2	0	0.0		2.000	488	489
141		Beam	Beam - y	3	0	0.0		2.000	489	510
142		Beam	Beam - x	2	0	0.0		2.000	489	490
144		Beam	Beam - y	3	0	0.0		2.000	490	511
145		Beam	Beam - x	2	0	0.0		2.000	490	491
147		Beam	Beam - y	3	0	0.0		2.000	491	512
148		Beam	Beam - x	2	0	0.0		2.000	491	492
150		Beam	Beam - y	3	0	0.0		2.000	492	513
151		Beam	Beam - x	2	0	0.0		2.000	492	493
153		Beam	Beam - y	3	0	0.0		2.000	493	514
154		Beam	Beam - x	2	0	0.0		2.000	493	494
156		Beam	Beam - y	3	0	0.0		2.000	494	515
157		Beam	Beam - x	2	0	0.0		2.000	494	495
159		Beam	Beam - y	3	0	0.0		2.000	495	516
160		Beam	Beam - x	2	0	0.0		2.000	495	496
162		Beam	Beam - y	3	0	0.0		2.000	496	517
163		Beam	Beam - x	2	0	0.0		2.000	496	497
165		Beam	Beam - y	3	0	0.0		2.000	497	518
166		Beam	Beam - x	2	0	0.0		2.000	497	498
168		Beam	Beam - y	3	0	0.0		2.000	498	519
169		Beam	Beam - x	2	0	0.0		2.000	498	499
171		Beam	Beam - y	3	0	0.0		2.000	499	520
172		Beam	Beam - x	2	0	0.0		2.000	499	500
174		Beam	Beam - y	3	0	0.0		2.000	500	521
175		Beam	Beam - x	2	0	0.0		2.000	500	501
177		Beam	Beam - y	3	0	0.0		2.000	501	522
178		Beam	Beam - x	2	0	0.0		2.000	501	502
180		Beam	Beam - y	3	0	0.0		2.000	502	523
181		Beam	Beam - x	2	0	0.0		2.000	502	503
183		Beam	Beam - y	3	0	0.0		2.000	503	524
184		Beam	Beam - x	2	0	0.0		2.000	503	504
186		Beam	Beam - y	3	0	0.0		2.000	504	525
188		Beam	Beam - y	3	0	0.0		2.000	505	526
189		Beam	Beam - x	2	0	0.0		2.000	505	506
191		Beam	Beam - y	3	0	0.0		2.000	506	527
192		Beam	Beam - x	2	0	0.0		2.000	506	507
194		Beam	Beam - y	3	0	0.0		2.000	507	528
195		Beam	Beam - x	2	0	0.0		2.000	507	508
197		Beam	Beam - y	3	0	0.0		2.000	508	529
198		Beam	Beam - x	2	0	0.0		2.000	508	509
200		Beam	Beam - y	3	0	0.0		2.000	509	530
201		Beam	Beam - x	2	0	0.0		2.000	509	510
203		Beam	Beam - y	3	0	0.0		2.000	510	531
204		Beam	Beam - x	2	0	0.0		2.000	510	511
206		Beam	Beam - y	3	0	0.0		2.000	511	532
207		Beam	Beam - x	2	0	0.0		2.000	511	512
209		Beam	Beam - y	3	0	0.0		2.000	512	533
210		Beam	Beam - x	2	0	0.0		2.000	512	513
212		Beam	Beam - y	3	0	0.0		2.000	513	534
213		Beam	Beam - x	2	0	0.0		2.000	513	514
215		Beam	Beam - y	3	0	0.0		2.000	514	535
216		Beam	Beam - x	2	0	0.0		2.000	514	515
218		Beam	Beam - y	3	0	0.0		2.000	515	536
219		Beam	Beam - x	2	0	0.0		2.000	515	516
221		Beam	Beam - y	3	0	0.0		2.000	516	537
222		Beam	Beam - x	2	0	0.0		2.000	516	517
224		Beam	Beam - y	3	0	0.0		2.000	517	538
225		Beam	Beam - x	2	0	0.0		2.000	517	518
227		Beam	Beam - y	3	0	0.0		2.000	518	539
228		Beam	Beam - x	2	0	0.0		2.000	518	519
230		Beam	Beam - y	3	0	0.0		2.000	519	540
231		Beam	Beam - x	2	0	0.0		2.000	519	520
233		Beam	Beam - y	3	0	0.0		2.000	520	541
234		Beam	Beam - x	2	0	0.0		2.000	520	521
236		Beam	Beam - y	3	0	0.0		2.000	521	542
237		Beam	Beam - x	2	0	0.0		2.000	521	522
239		Beam	Beam - y	3	0	0.0		2.000	522	543
240		Beam	Beam - x	2	0	0.0		2.000	522	523
242		Beam	Beam - y	3	0	0.0		2.000	523	544
243		Beam	Beam - x	2	0	0.0		2.000	523	524
245		Beam	Beam - y	3	0	0.0		2.000	524	545
246		Beam	Beam - x	2	0	0.0		2.000	524	525
248		Beam	Beam - y	3	0	0.0		2.000	525	546
250		Beam	Beam - y	3	0	0.0		2.000	526	547
251		Beam	Beam - x	2	0	0.0		2.000	526	527
253		Beam	Beam - y	3	0	0.0		2.000	527	548
254		Beam	Beam - x	2	0	0.0		2.000	527	528
256		Beam	Beam - y	3	0	0.0		2.000	528	549
257		Beam	Beam - x	2	0	0.0		2.000	528	529
259		Beam	Beam - y	3	0	0.0		2.000	529	550
260		Beam	Beam - x	2	0	0.0		2.000	529	530
262		Beam	Beam - y	3	0	0.0		2.000	530	551
263		Beam	Beam - x	2	0	0.0		2.000	530	531
265		Beam	Beam - y	3	0	0.0		2.000	531	552
266		Beam	Beam - x	2	0	0.0		2.000	531	532
268		Beam	Beam - y	3	0	0.0		2.000	532	553
269		Beam	Beam - x	2	0	0.0		2.000	532	533
271		Beam	Beam - y	3	0	0.0		2.000	533	554
272		Beam	Beam - x	2	0	0.0		2.000	533	534
274		Beam	Beam - y	3	0	0.0		2.000	534	555
275		Beam	Beam - x	2	0	0.0		2.000	534	535
277		Beam	Beam - y	3	0	0.0		2.000	535	556
278		Beam	Beam - x	2	0	0.0		2.000	535	536
280		Beam	Beam - y	3	0	0.0		2.000	536	557
281		Beam	Beam - x	2	0	0.0		2.000	536	537
283		Beam	Beam - y	3	0	0.0		2.000	537	558
284		Beam	Beam - x	2	0	0.0		2.000	537	538
286		Beam	Beam - y	3	0	0.0		2.000	538	559
287		Beam	Beam - x	2	0	0.0		2.000	538	539
289		Beam	Beam - y	3	0	0.0		2.000	539	560
290		Beam	Beam - x	2	0	0.0		2.000	539	540
292		Beam	Beam - y	3	0	0.0		2.000	540	561
293		Beam	Beam - x	2	0	0.0		2.000	540	541
295		Beam	Beam - y	3	0	0.0		2.000	541	562
296		Beam	Beam - x	2	0	0.0		2.000	541	542
298		Beam	Beam - y	3	0	0.0		2.000	542	563
299		Beam	Beam - x	2	0	0.0		2.000	542	543
301		Beam	Beam - y	3	0	0.0		2.000	543	564
302		Beam	Beam - x	2	0	0.0		2.000	543	544
304		Beam	Beam - y	3	0	0.0		2.000	544	565
305		Beam	Beam - x	2	0	0.0		2.000	544	545
307		Beam	Beam - y	3	0	0.0		2.000	545	566
308		Beam	Beam - x	2	0	0.0		2.000	545	546
310		Beam	Beam - y	3	0	0.0		2.000	546	567
312		Beam	Beam - y	3	0	0.0		2.000	547	568
313		Beam	Beam - x	2	0	0.0		2.000	547	548
315		Beam	Beam - y	3	0	0.0		2.000	548	569
316		Beam	Beam - x	2	0	0.0		2.000	548	549
318		Beam	Beam - y	3	0	0.0		2.000	549	570
319		Beam	Beam - x	2	0	0.0		2.000	549	550
321		Beam	Beam - y	3	0	0.0		2.000	550	571
322		Beam	Beam - x	2	0	0.0		2.000	550	551
324		Beam	Beam - y	3	0	0.0		2.000	551	572
325		Beam	Beam - x	2	0	0.0		2.000	551	552
327		Beam	Beam - y	3	0	0.0		2.000	552	573
328		Beam	Beam - x	2	0	0.0		2.000	552	553
330		Beam	Beam - y	3	0	0.0		2.000	553	574
331		Beam	Beam - x	2	0	0.0		2.000	553	554
333		Beam	Beam - y	3	0	0.0		2.000	554	575
334		Beam	Beam - x	2	0	0.0		2.000	554	555
336		Beam	Beam - y	3	0	0.0		2.000	555	576
337		Beam	Beam - x	2	0	0.0		2.000	555	556
339		Beam	Beam - y	3	0	0.0		2.000	556	577
340		Beam	Beam - x	2	0	0.0		2.000	556	557
342		Beam	Beam - y	3	0	0.0		2.000	557	578
343		Beam	Beam - x	2	0	0.0		2.000	557	558
345		Beam	Beam - y	3	0	0.0		2.000	558	579
346		Beam	Beam - x	2	0	0.0		2.000	558	559
348		Beam	Beam - y	3	0	0.0		2.000	559	580
349		Beam	Beam - x	2	0	0.0		2.000	559	560
351		Beam	Beam - y	3	0	0.0		2.000	560	581
352		Beam	Beam - x	2	0	0.0		2.000	560	561
354		Beam	Beam - y	3	0	0.0		2.000	561	582
355		Beam	Beam - x	2	0	0.0		2.000	561	562
357		Beam	Beam - y	3	0	0.0		2.000	562	583
358		Beam	Beam - x	2	0	0.0		2.000	562	563
360		Beam	Beam - y	3	0	0.0		2.000	563	584
361		Beam	Beam - x	2	0	0.0		2.000	563	564
363		Beam	Beam - y	3	0	0.0		2.000	564	585
364		Beam	Beam - x	2	0	0.0		2.000	564	565
366		Beam	Beam - y	3	0	0.0		2.000	565	586
367		Beam	Beam - x	2	0	0.0		2.000	565	566
369		Beam	Beam - y	3	0	0.0		2.000	566	587
370		Beam	Beam - x	2	0	0.0		2.000	566	567
372		Beam	Beam - y	3	0	0.0		2.000	567	588
374		Beam	Beam - y	3	0	0.0		2.000	568	589
375		Beam	Beam - x	2	0	0.0		2.000	568	569
377		Beam	Beam - y	3	0	0.0		2.000	569	590
378		Beam	Beam - x	2	0	0.0		2.000	569	570
380		Beam	Beam - y	3	0	0.0		2.000	570	591
381		Beam	Beam - x	2	0	0.0		2.000	570	571
383		Beam	Beam - y	3	0	0.0		2.000	571	592
384		Beam	Beam - x	2	0	0.0		2.000	571	572
386		Beam	Beam - y	3	0	0.0		2.000	572	593
387		Beam	Beam - x	2	0	0.0		2.000	572	573
389		Beam	Beam - y	3	0	0.0		2.000	573	594
390		Beam	Beam - x	2	0	0.0		2.000	573	574
392		Beam	Beam - y	3	0	0.0		2.000	574	595
393		Beam	Beam - x	2	0	0.0		2.000	574	575
395		Beam	Beam - y	3	0	0.0		2.000	575	596
396		Beam	Beam - x	2	0	0.0		2.000	575	576
398		Beam	Beam - y	3	0	0.0		2.000	576	597
399		Beam	Beam - x	2	0	0.0		2.000	576	577
401		Beam	Beam - y	3	0	0.0		2.000	577	598
402		Beam	Beam - x	2	0	0.0		2.000	577	578
404		Beam	Beam - y	3	0	0.0		2.000	578	599
405		Beam	Beam - x	2	0	0.0		2.000	578	579
407		Beam	Beam - y	3	0	0.0		2.000	579	600
408		Beam	Beam - x	2	0	0.0		2.000	579	580
410		Beam	Beam - y	3	0	0.0		2.000	580	601
411		Beam	Beam - x	2	0	0.0		2.000	580	581
413		Beam	Beam - y	3	0	0.0		2.000	581	602
414		Beam	Beam - x	2	0	0.0		2.000	581	582
416		Beam	Beam - y	3	0	0.0		2.000	582	603
417		Beam	Beam - x	2	0	0.0		2.000	582	583
419		Beam	Beam - y	3	0	0.0		2.000	583	604
420		Beam	Beam - x	2	0	0.0		2.000	583	584
422		Beam	Beam - y	3	0	0.0		2.000	584	605
423		Beam	Beam - x	2	0	0.0		2.000	584	585
425		Beam	Beam - y	3	0	0.0		2.000	585	606
426		Beam	Beam - x	2	0	0.0		2.000	585	586
428		Beam	Beam - y	3	0	0.0		2.000	586	607
429		Beam	Beam - x	2	0	0.0		2.000	586	587
431		Beam	Beam - y	3	0	0.0		2.000	587	608
432		Beam	Beam - x	2	0	0.0		2.000	587	588
434		Beam	Beam - y	3	0	0.0		2.000	588	609
436		Beam	Beam - y	3	0	0.0		2.000	589	610
437		Beam	Beam - x	2	0	0.0		2.000	589	590
439		Beam	Beam - y	3	0	0.0		2.000	590	611
440		Beam	Beam - x	2	0	0.0		2.000	590	591
442		Beam	Beam - y	3	0	0.0		2.000	591	612
443		Beam	Beam - x	2	0	0.0		2.000	591	592
445		Beam	Beam - y	3	0	0.0		2.000	592	613
446		Beam	Beam - x	2	0	0.0		2.000	592	593
448		Beam	Beam - y	3	0	0.0		2.000	593	614
449		Beam	Beam - x	2	0	0.0		2.000	593	594
451		Beam	Beam - y	3	0	0.0		2.000	594	615
452		Beam	Beam - x	2	0	0.0		2.000	594	595
454		Beam	Beam - y	3	0	0.0		2.000	595	616
455		Beam	Beam - x	2	0	0.0		2.000	595	596
457		Beam	Beam - y	3	0	0.0		2.000	596	617
458		Beam	Beam - x	2	0	0.0		2.000	596	597
460		Beam	Beam - y	3	0	0.0		2.000	597	618
461		Beam	Beam - x	2	0	0.0		2.000	597	598
463		Beam	Beam - y	3	0	0.0		2.000	598	619
464		Beam	Beam - x	2	0	0.0		2.000	598	599
466		Beam	Beam - y	3	0	0.0		2.000	599	620
467		Beam	Beam - x	2	0	0.0		2.000	599	600
469		Beam	Beam - y	3	0	0.0		2.000	600	621
470		Beam	Beam - x	2	0	0.0		2.000	600	601
472		Beam	Beam - y	3	0	0.0		2.000	601	622
473		Beam	Beam - x	2	0	0.0		2.000	601	602
475		Beam	Beam - y	3	0	0.0		2.000	602	623
476		Beam	Beam - x	2	0	0.0		2.000	602	603
478		Beam	Beam - y	3	0	0.0		2.000	603	624
479		Beam	Beam - x	2	0	0.0		2.000	603	604
481		Beam	Beam - y	3	0	0.0		2.000	604	625
482		Beam	Beam - x	2	0	0.0		2.000	604	605
484		Beam	Beam - y	3	0	0.0		2.000	605	626
485		Beam	Beam - x	2	0	0.0		2.000	605	606
487		Beam	Beam - y	3	0	0.0		2.000	606	627
488		Beam	Beam - x	2	0	0.0		2.000	606	607
490		Beam	Beam - y	3	0	0.0		2.000	607	628
491		Beam	Beam - x	2	0	0.0		2.000	607	608
493		Beam	Beam - y	3	0	0.0		2.000	608	629
494		Beam	Beam - x	2	0	0.0		2.000	608	609
496		Beam	Beam - y	3	0	0.0		2.000	609	630
498		Beam	Beam - y	3	0	0.0		2.000	610	631
499		Beam	Beam - x	2	0	0.0		2.000	610	611
501		Beam	Beam - y	3	0	0.0		2.000	611	632
502		Beam	Beam - x	2	0	0.0		2.000	611	612
504		Beam	Beam - y	3	0	0.0		2.000	612	633
505		Beam	Beam - x	2	0	0.0		2.000	612	613
507		Beam	Beam - y	3	0	0.0		2.000	613	634
508		Beam	Beam - x	2	0	0.0		2.000	613	614
510		Beam	Beam - y	3	0	0.0		2.000	614	635
511		Beam	Beam - x	2	0	0.0		2.000	614	615
513		Beam	Beam - y	3	0	0.0		2.000	615	636
514		Beam	Beam - x	2	0	0.0		2.000	615	616
516		Beam	Beam - y	3	0	0.0		2.000	616	637
517		Beam	Beam - x	2	0	0.0		2.000	616	617
519		Beam	Beam - y	3	0	0.0		2.000	617	638
520		Beam	Beam - x	2	0	0.0		2.000	617	618
522		Beam	Beam - y	3	0	0.0		2.000	618	639
523		Beam	Beam - x	2	0	0.0		2.000	618	619
525		Beam	Beam - y	3	0	0.0		2.000	619	640
526		Beam	Beam - x	2	0	0.0		2.000	619	620
528		Beam	Beam - y	3	0	0.0		2.000	620	641
529		Beam	Beam - x	2	0	0.0		2.000	620	621
531		Beam	Beam - y	3	0	0.0		2.000	621	642
532		Beam	Beam - x	2	0	0.0		2.000	621	622
534		Beam	Beam - y	3	0	0.0		2.000	622	643
535		Beam	Beam - x	2	0	0.0		2.000	622	623
537		Beam	Beam - y	3	0	0.0		2.000	623	644
538		Beam	Beam - x	2	0	0.0		2.000	623	624
540		Beam	Beam - y	3	0	0.0		2.000	624	645
541		Beam	Beam - x	2	0	0.0		2.000	624	625
543		Beam	Beam - y	3	0	0.0		2.000	625	646
544		Beam	Beam - x	2	0	0.0		2.000	625	626
546		Beam	Beam - y	3	0	0.0		2.000	626	647
547		Beam	Beam - x	2	0	0.0		2.000	626	627
549		Beam	Beam - y	3	0	0.0		2.000	627	648
550		Beam	Beam - x	2	0	0.0		2.000	627	628
552		Beam	Beam - y	3	0	0.0		2.000	628	649
553		Beam	Beam - x	2	0	0.0		2.000	628	629
555		Beam	Beam - y	3	0	0.0		2.000	629	650
556		Beam	Beam - x	2	0	0.0		2.000	629	630
558		Beam	Beam - y	3	0	0.0		2.000	630	651
560		Beam	Beam - y	3	0	0.0		2.000	631	652
561		Beam	Beam - x	2	0	0.0		2.000	631	632
563		Beam	Beam - y	3	0	0.0		2.000	632	653
564		Beam	Beam - x	2	0	0.0		2.000	632	633
566		Beam	Beam - y	3	0	0.0		2.000	633	654
567		Beam	Beam - x	2	0	0.0		2.000	633	634
569		Beam	Beam - y	3	0	0.0		2.000	634	655
570		Beam	Beam - x	2	0	0.0		2.000	634	635
572		Beam	Beam - y	3	0	0.0		2.000	635	656
573		Beam	Beam - x	2	0	0.0		2.000	635	636
575		Beam	Beam - y	3	0	0.0		2.000	636	657
576		Beam	Beam - x	2	0	0.0		2.000	636	637
578		Beam	Beam - y	3	0	0.0		2.000	637	658
579		Beam	Beam - x	2	0	0.0		2.000	637	638
581		Beam	Beam - y	3	0	0.0		2.000	638	659
582		Beam	Beam - x	2	0	0.0		2.000	638	639
584		Beam	Beam - y	3	0	0.0		2.000	639	660
585		Beam	Beam - x	2	0	0.0		2.000	639	640
587		Beam	Beam - y	3	0	0.0		2.000	640	661
588		Beam	Beam - x	2	0	0.0		2.000	640	641
590		Beam	Beam - y	3	0	0.0		2.000	641	662
591		Beam	Beam - x	2	0	0.0		2.000	641	642
593		Beam	Beam - y	3	0	0.0		2.000	642	663
594		Beam	Beam - x	2	0	0.0		2.000	642	643
596		Beam	Beam - y	3	0	0.0		2.000	643	664
597		Beam	Beam - x	2	0	0.0		2.000	643	644
599		Beam	Beam - y	3	0	0.0		2.000	644	665
600		Beam	Beam - x	2	0	0.0		2.000	644	645
602		Beam	Beam - y	3	0	0.0		2.000	645	666
603		Beam	Beam - x	2	0	0.0		2.000	645	646
605		Beam	Beam - y	3	0	0.0		2.000	646	667
606		Beam	Beam - x	2	0	0.0		2.000	646	647
608		Beam	Beam - y	3	0	0.0		2.000	647	668
609		Beam	Beam - x	2	0	0.0		2.000	647	648
611		Beam	Beam - y	3	0	0.0		2.000	648	669
612		Beam	Beam - x	2	0	0.0		2.000	648	649
614		Beam	Beam - y	3	0	0.0		2.000	649	670
615		Beam	Beam - x	2	0	0.0		2.000	649	650
617		Beam	Beam - y	3	0	0.0		2.000	650	671
618		Beam	Beam - x	2	0	0.0		2.000	650	651
620		Beam	Beam - y	3	0	0.0		2.000	651	672
622		Beam	Beam - y	3	0	0.0		2.000	652	673
623		Beam	Beam - x	2	0	0.0		2.000	652	653
625		Beam	Beam - y	3	0	0.0		2.000	653	674
626		Beam	Beam - x	2	0	0.0		2.000	653	654
628		Beam	Beam - y	3	0	0.0		2.000	654	675
629		Beam	Beam - x	2	0	0.0		2.000	654	655
631		Beam	Beam - y	3	0	0.0		2.000	655	676
632		Beam	Beam - x	2	0	0.0		2.000	655	656
634		Beam	Beam - y	3	0	0.0		2.000	656	677
635		Beam	Beam - x	2	0	0.0		2.000	656	657
637		Beam	Beam - y	3	0	0.0		2.000	657	678
638		Beam	Beam - x	2	0	0.0		2.000	657	658
640		Beam	Beam - y	3	0	0.0		2.000	658	679
641		Beam	Beam - x	2	0	0.0		2.000	658	659
643		Beam	Beam - y	3	0	0.0		2.000	659	680
644		Beam	Beam - x	2	0	0.0		2.000	659	660
646		Beam	Beam - y	3	0	0.0		2.000	660	681
647		Beam	Beam - x	2	0	0.0		2.000	660	661
649		Beam	Beam - y	3	0	0.0		2.000	661	682
650		Beam	Beam - x	2	0	0.0		2.000	661	662
652		Beam	Beam - y	3	0	0.0		2.000	662	683
653		Beam	Beam - x	2	0	0.0		2.000	662	663
655		Beam	Beam - y	3	0	0.0		2.000	663	684
656		Beam	Beam - x	2	0	0.0		2.000	663	664
658		Beam	Beam - y	3	0	0.0		2.000	664	685
659		Beam	Beam - x	2	0	0.0		2.000	664	665
661		Beam	Beam - y	3	0	0.0		2.000	665	686
662		Beam	Beam - x	2	0	0.0		2.000	665	666
664		Beam	Beam - y	3	0	0.0		2.000	666	687
665		Beam	Beam - x	2	0	0.0		2.000	666	667
667		Beam	Beam - y	3	0	0.0		2.000	667	688
668		Beam	Beam - x	2	0	0.0		2.000	667	668
670		Beam	Beam - y	3	0	0.0		2.000	668	689
671		Beam	Beam - x	2	0	0.0		2.000	668	669
673		Beam	Beam - y	3	0	0.0		2.000	669	690
674		Beam	Beam - x	2	0	0.0		2.000	669	670
676		Beam	Beam - y	3	0	0.0		2.000	670	691
677		Beam	Beam - x	2	0	0.0		2.000	670	671
679		Beam	Beam - y	3	0	0.0		2.000	671	692
680		Beam	Beam - x	2	0	0.0		2.000	671	672
682		Beam	Beam - y	3	0	0.0		2.000	672	693
684		Beam	Beam - y	3	0	0.0		2.000	673	694
685		Beam	Beam - x	2	0	0.0		2.000	673	674
687		Beam	Beam - y	3	0	0.0		2.000	674	695
688		Beam	Beam - x	2	0	0.0		2.000	674	675
690		Beam	Beam - y	3	0	0.0		2.000	675	696
691		Beam	Beam - x	2	0	0.0		2.000	675	676
693		Beam	Beam - y	3	0	0.0		2.000	676	697
694		Beam	Beam - x	2	0	0.0		2.000	676	677
696		Beam	Beam - y	3	0	0.0		2.000	677	698
697		Beam	Beam - x	2	0	0.0		2.000	677	678
699		Beam	Beam - y	3	0	0.0		2.000	678	699
700		Beam	Beam - x	2	0	0.0		2.000	678	679
702		Beam	Beam - y	3	0	0.0		2.000	679	700
703		Beam	Beam - x	2	0	0.0		2.000	679	680
705		Beam	Beam - y	3	0	0.0		2.000	680	701
706		Beam	Beam - x	2	0	0.0		2.000	680	681
708		Beam	Beam - y	3	0	0.0		2.000	681	702
709		Beam	Beam - x	2	0	0.0		2.000	681	682
711		Beam	Beam - y	3	0	0.0		2.000	682	703
712		Beam	Beam - x	2	0	0.0		2.000	682	683
714		Beam	Beam - y	3	0	0.0		2.000	683	704
715		Beam	Beam - x	2	0	0.0		2.000	683	684
717		Beam	Beam - y	3	0	0.0		2.000	684	705
718		Beam	Beam - x	2	0	0.0		2.000	684	685
720		Beam	Beam - y	3	0	0.0		2.000	685	706
721		Beam	Beam - x	2	0	0.0		2.000	685	686
723		Beam	Beam - y	3	0	0.0		2.000	686	707
724		Beam	Beam - x	2	0	0.0		2.000	686	687
726		Beam	Beam - y	3	0	0.0		2.000	687	708
727		Beam	Beam - x	2	0	0.0		2.000	687	688
729		Beam	Beam - y	3	0	0.0		2.000	688	709
730		Beam	Beam - x	2	0	0.0		2.000	688	689
732		Beam	Beam - y	3	0	0.0		2.000	689	710
733		Beam	Beam - x	2	0	0.0		2.000	689	690
735		Beam	Beam - y	3	0	0.0		2.000	690	711
736		Beam	Beam - x	2	0	0.0		2.000	690	691
738		Beam	Beam - y	3	0	0.0		2.000	691	712
739		Beam	Beam - x	2	0	0.0		2.000	691	692
741		Beam	Beam - y	3	0	0.0		2.000	692	713
742		Beam	Beam - x	2	0	0.0		2.000	692	693
744		Beam	Beam - y	3	0	0.0		2.000	693	714
